0,Id,IdType,description
Mapoly0060s0061,PF13519 GO:0005515 PF13639 GO:0008270 PTHR10579 PTHR10579:SF40 KOG2177 PF14624,PFAM GO PFAM GO PANTHER PANTHER KOG PFAM,von Willebrand factor type A domain protein binding Ring finger domain zinc ion binding CALCIUM-ACTIVATED CHLORIDE CHANNEL REGULATOR nan Predicted E3 ubiquitin ligase VWA / Hh  protein intein-like
Mapoly0060s0062,PF00628 GO:0005515 PTHR10782 GO:0008270 PF02891 GO:0003676 PTHR10782:SF34 PF02037,PFAM GO PANTHER GO PFAM GO PANTHER PFAM,PHD-finger protein binding ZINC FINGER MIZ DOMAIN-CONTAINING PROTEIN zinc ion binding MIZ/SP-RING zinc finger nucleic acid binding nan SAP domain
Mapoly0060s0064,GO:0010468 GO:0005777 PTHR14379 PF01936 PF12872,GO GO PANTHER PFAM PFAM,regulation of gene expression peroxisome LIMKAIN B (LKAP) NYN domain OST-HTH/LOTUS domain
Mapoly0060s0066,KOG0157 GO:0005506 GO:0055114 GO:0016705 GO:0020037 PTHR24286:SF27 PF00067 PTHR24286,KOG GO GO GO GO PANTHER PFAM PANTHER,"Cytochrome P450 CYP4/CYP19/CYP26 subfamilies iron ion binding oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding nan Cytochrome P450 FAMILY NOT NAMED"
Mapoly0060s0067,PTHR23315 PF13646,PANTHER PFAM,BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING HEAT repeats
Mapoly0060s0068,KOG0610 GO:0005524 PF00069 GO:0004672 GO:0006468 PTHR24351,KOG GO PFAM GO GO PANTHER,Putative serine/threonine protein kinase ATP binding Protein kinase domain protein kinase activity protein phosphorylation RIBOSOMAL PROTEIN S6 KINASE
Mapoly0060s0071,GO:0005840 PF00861 GO:0003735 K02881 GO:0005622 PTHR12899 GO:0006412,GO PFAM GO KEGGORTH GO PANTHER GO,"ribosome Ribosomal L18p/L5e family structural constituent of ribosome large subunit ribosomal protein L18 intracellular 39S RIBOSOMAL PROTEIN L18, MITOCHONDRIAL translation"
Mapoly0060s0072,PTHR12553 PTHR12553:SF43 PF12706,PANTHER PANTHER PFAM,RIBONUCLEASE Z nan Beta-lactamase superfamily domain
Mapoly0060s0075,PF01476,PFAM,LysM domain
Mapoly0060s0079,K14488 PTHR31374 PF02519,KEGGORTH PANTHER PFAM,SAUR family protein FAMILY NOT NAMED Auxin responsive protein
Mapoly0060s0082,PTHR23213 KOG4462,PANTHER KOG,"FORMIN-RELATED WASP-interacting protein VRP1/WIP, contains WH2 domain"
Mapoly0060s0085,PTHR14110:SF1 KOG1652 PF02466 PTHR14110,PANTHER KOG PFAM PANTHER,"MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM22 Mitochondrial import inner membrane translocase, subunit TIM17 Tim17/Tim22/Tim23/Pmp24 family MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM22"
Mapoly0060s0086,GO:0005524 PF00004 PTHR23077:SF49 PTHR23077,GO PFAM PANTHER PANTHER,ATP binding ATPase family associated with various cellular activities (AAA) nan AAA-FAMILY ATPASE
Mapoly0060s0089,GO:0005506 GO:0055114 GO:0016705 GO:0020037 PTHR24298 PF00067,GO GO GO GO PANTHER PFAM,"iron ion binding oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen heme binding FAMILY NOT NAMED Cytochrome P450"
Mapoly0060s0090,GO:0016020 GO:0008519 GO:0015696 GO:0072488 PTHR11730 PF00909 KOG0682 PTHR11730:SF6,GO GO GO GO PANTHER PFAM KOG PANTHER,membrane ammonium transmembrane transporter activity ammonium transport ammonium transmembrane transport AMMONIUM TRANSPORTER Ammonium Transporter Family Ammonia permease AMMONIUM TRANSPORTER
Mapoly0060s0091,GO:0016020 PTHR11119 PTHR11119:SF34 GO:0006810 GO:0055085 KOG1292 GO:0005215 PF00860,GO PANTHER PANTHER GO GO KOG GO PFAM,membrane XANTHINE-URACIL / VITAMIN C PERMEASE FAMILY MEMBER nan transport transmembrane transport Xanthine/uracil transporters transporter activity Permease family
Mapoly0060s0092,PTHR31301:SF1 PTHR31301 PF03195,PANTHER PANTHER PFAM,nan FAMILY NOT NAMED Protein of unknown function DUF260
Mapoly0060s0093,PTHR21256 GO:0055114 K00013 KOG2697 GO:0000105 GO:0008270 GO:0004399 PF00815 GO:0051287 1.1.1.23 PTHR21256:SF2,PANTHER GO KEGGORTH KOG GO GO GO PFAM GO EC PANTHER,HISTIDINOL DEHYDROGENASE (HDH) oxidation-reduction process histidinol dehydrogenase [EC:1.1.1.23] Histidinol dehydrogenase histidine biosynthetic process zinc ion binding histidinol dehydrogenase activity Histidinol dehydrogenase NAD binding Histidinol dehydrogenase. HISTIDINOL DEHYDROGENASE (HDH)
Mapoly0060s0096,PTHR31621 PTHR31621:SF1 PF05078,PANTHER PANTHER PFAM,FAMILY NOT NAMED nan Protein of unknown function (DUF679)
Mapoly0060s0097,PF00026 PTHR13683:SF223 PTHR13683 PF14541 GO:0004190 GO:0006508,PFAM PANTHER PANTHER PFAM GO GO,Eukaryotic aspartyl protease nan ASPARTYL PROTEASES Xylanase inhibitor C-terminal aspartic-type endopeptidase activity proteolysis
Mapoly0060s0098,KOG1339 PTHR13683:SF223 PF14543 PTHR13683 PF14541 GO:0004190 GO:0006508,KOG PANTHER PFAM PANTHER PFAM GO GO,Aspartyl protease nan Xylanase inhibitor N-terminal ASPARTYL PROTEASES Xylanase inhibitor C-terminal aspartic-type endopeptidase activity proteolysis
Mapoly0060s0099,PTHR31669 PF10551,PANTHER PFAM,FAMILY NOT NAMED MULE transposase domain
Mapoly0060s0100,PTHR24076:SF107 PF00226 PTHR24076,PANTHER PFAM PANTHER,nan DnaJ domain FAMILY NOT NAMED
Mapoly0060s0101,PTHR31621 PTHR31621:SF1 PF05078,PANTHER PANTHER PFAM,FAMILY NOT NAMED nan Protein of unknown function (DUF679)
Mapoly0060s0102,PTHR12327:SF0 PTHR12327 GO:0071929 GO:0019799 KOG4601 PF05301,PANTHER PANTHER GO GO KOG PFAM,SUBFAMILY NOT NAMED UNCHARACTERIZED alpha-tubulin acetylation tubulin N-acetyltransferase activity Uncharacterized conserved protein Touch receptor neuron protein Mec-17
Mapoly0060s0103,PF11282,PFAM,Protein of unknown function (DUF3082)
Mapoly0060s0104,PTHR32133 PTHR32133:SF83 GO:0005515 PF00646,PANTHER PANTHER GO PFAM,FAMILY NOT NAMED nan protein binding F-box domain
Mapoly0060s0105,PTHR24012 KOG4207 GO:0008270 PF00098 GO:0003676 PTHR24012:SF334 PF00076,PANTHER KOG GO PFAM GO PANTHER PFAM,"FAMILY NOT NAMED Predicted splicing factor, SR protein superfamily zinc ion binding Zinc knuckle nucleic acid binding nan RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
Mapoly0060s0107,GO:0006397 PF01348,GO PFAM,mRNA processing Type II intron maturase
Mapoly0060s0108,PTHR31728 PTHR31728:SF1,PANTHER PANTHER,FAMILY NOT NAMED nan
Mapoly0060s0109,GO:0005840 K02993 KOG3320 GO:0003735 PF01251 GO:0005622 GO:0006412 PTHR11278:SF0 PTHR11278,GO KEGGORTH KOG GO PFAM GO GO PANTHER PANTHER,ribosome small subunit ribosomal protein S7e 40S ribosomal protein S7 structural constituent of ribosome Ribosomal protein S7e intracellular translation SUBFAMILY NOT NAMED 40S RIBOSOMAL PROTEIN S7
Mapoly0060s0110,PF15072 PTHR14523 PTHR14523:SF1,PFAM PANTHER PANTHER,Domain of unknown function (DUF4539) FAMILY NOT NAMED SUBFAMILY NOT NAMED
Mapoly0060s0111,GO:0016020 PF06280 GO:0004252 PTHR10795:SF341 PF00082 PF05922 GO:0005618 GO:0006508 PTHR10795,GO PFAM GO PANTHER PFAM PFAM GO GO PANTHER,membrane Fn3-like domain (DUF1034) serine-type endopeptidase activity nan Subtilase family Peptidase inhibitor I9 cell wall proteolysis PROPROTEIN CONVERTASE SUBTILISIN/KEXIN
Mapoly0060s0113,PTHR13271 PTHR13271:SF19,PANTHER PANTHER,UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE nan
Mapoly0060s0114,PTHR13271 PTHR13271:SF19,PANTHER PANTHER,UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE nan
Mapoly0060s0115,PF03018,PFAM,Dirigent-like protein
Mapoly0061s0001,GO:0016020 GO:0005524 PTHR19241:SF182 KOG0061 GO:0016887 PTHR19241 PF01061 PF00005,GO GO PANTHER KOG GO PANTHER PFAM PFAM,"membrane ATP binding nan Transporter, ABC superfamily (Breast cancer resistance protein) ATPase activity ATP-BINDING CASSETTE TRANSPORTER ABC-2 type transporter ABC transporter"
Mapoly0061s0003,PF03168,PFAM,Late embryogenesis abundant protein
Mapoly0061s0004,PF14655 GO:0043087 PTHR12472,PFAM GO PANTHER,Rab3 GTPase-activating protein regulatory subunit N-terminus regulation of GTPase activity RAB3-GAP REGULATORY DOMAIN
Mapoly0061s0007,PTHR24322 GO:0016491 GO:0008152 PF00106 PTHR24322:SF31 KOG1205,PANTHER GO GO PFAM PANTHER KOG,FAMILY NOT NAMED oxidoreductase activity metabolic process short chain dehydrogenase 3-PHENYLPROPIONATE-DIHYDRODIOL/CINNAMIC ACID-DIHYDRODIOL DEHYDROGENASE Predicted dehydrogenase
Mapoly0061s0008,PTHR31201:SF1 KOG2895 PTHR31201 PF10998,PANTHER KOG PANTHER PFAM,nan Uncharacterized conserved protein FAMILY NOT NAMED Protein of unknown function (DUF2838)
Mapoly0061s0009,PF13812 PF12854 PF01535 PTHR24015 PF13041 GO:0003676 PTHR24015:SF274 PF00076,PFAM PFAM PFAM PANTHER PFAM GO PANTHER PFAM,"Pentatricopeptide repeat domain PPR repeat PPR repeat FAMILY NOT NAMED PPR repeat family nucleic acid binding nan RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
Mapoly0061s0010,GO:0006269 GO:0003896 PTHR10536 KOG2851 K02684 2.7.7.- PF01896,GO GO PANTHER KOG KEGGORTH EC PFAM,"DNA replication, synthesis of RNA primer DNA primase activity DNA PRIMASE SMALL SUBUNIT Eukaryotic-type DNA primase, catalytic (small) subunit DNA primase small subunit [EC:2.7.7.-] Nucleotidyltransferases. Eukaryotic and archaeal DNA primase small subunit"
Mapoly0061s0011,PTHR26374:SF148 PTHR26374 PF13912,PANTHER PANTHER PFAM,nan FAMILY NOT NAMED C2H2-type zinc finger
Mapoly0061s0013,3.6.3.14 GO:0015078 GO:0015986 PF00430 GO:0045263 K02109,EC GO GO PFAM GO KEGGORTH,"H(+)-transporting two-sector ATPase. hydrogen ion transmembrane transporter activity ATP synthesis coupled proton transport ATP synthase B/B' CF(0) proton-transporting ATP synthase complex, coupling factor F(o) F-type H+-transporting ATPase subunit b [EC:3.6.3.14]"
Mapoly0061s0014,GO:0006807 KOG0807 PF00795 PTHR23088 PTHR23088:SF5 GO:0016810,GO KOG PFAM PANTHER PANTHER GO,"nitrogen compound metabolic process Carbon-nitrogen hydrolase Carbon-nitrogen hydrolase NITRILASE-RELATED nan hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
Mapoly0061s0015,PF04389 PTHR12147:SF14 KOG2194 PTHR12147,PFAM PANTHER KOG PANTHER,Peptidase family M28 UNCHARACTERIZED Aminopeptidases of the M20 family FXNA-RELATED
Mapoly0061s0016,PTHR10774 KOG1030 PF00168 GO:0005515 PTHR10774:SF50,PANTHER KOG PFAM GO PANTHER,EXTENDED SYNAPTOTAGMIN-RELATED Predicted Ca2+-dependent phospholipid-binding protein C2 domain protein binding nan
Mapoly0061s0017,GO:0005524 KOG1187 GO:0006468 PF00069 PF00954 GO:0004672 PTHR24420 PF01453 GO:0048544,GO KOG GO PFAM PFAM GO PANTHER PFAM GO,ATP binding Serine/threonine protein kinase protein phosphorylation Protein kinase domain S-locus glycoprotein family protein kinase activity LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE D-mannose binding lectin recognition of pollen
Mapoly0061s0018,KOG2318 GO:0005634 PF08159 PTHR12202,KOG GO PFAM PANTHER,Uncharacterized conserved protein nucleus NUC153 domain UNCHARACTERIZED
Mapoly0061s0019,PF12937 PTHR12480:SF8 GO:0005515 PTHR12480 KOG2130 PF13621,PFAM PANTHER GO PANTHER KOG PFAM,"F-box-like TRANSCRIPTION FACTOR JUMONJI, JMJC DOMAIN-CONTAINING PROTEIN protein binding PHOSPHATIDYLSERINE RECEPTOR Phosphatidylserine-specific receptor PtdSerR, contains JmjC domain Cupin-like domain"
Mapoly0061s0020,PTHR21576:SF2 PF08161 KOG1248 PTHR21576,PANTHER PFAM KOG PANTHER,UNCHARACTERIZED NODULIN-LIKE PROTEIN NUC173 domain Uncharacterized conserved protein UNCHARACTERIZED NODULIN-LIKE PROTEIN
Mapoly0061s0021,KOG3978 PF10268,KOG PFAM,Predicted membrane protein Predicted transmembrane protein 161AB
Mapoly0061s0022,GO:0055114 PF03435 GO:0016491 PTHR12286:SF4 KOG2733 PTHR12286,GO PFAM GO PANTHER KOG PANTHER,oxidation-reduction process Saccharopine dehydrogenase oxidoreductase activity SUBFAMILY NOT NAMED Uncharacterized membrane protein UNCHARACTERIZED
Mapoly0061s0023,PF13465 PF00096 PTHR24409 GO:0046872 PF13894,PFAM PFAM PANTHER GO PFAM,"Zinc-finger double domain Zinc finger, C2H2 type FAMILY NOT NAMED metal ion binding C2H2-type zinc finger"
Mapoly0061s0025,PTHR10907 PF08450 PTHR10907:SF49,PANTHER PFAM PANTHER,REGUCALCIN SMP-30/Gluconolaconase/LRE-like region nan
Mapoly0061s0030,GO:0006355 GO:0043565 GO:0003700 PTHR31282 PF03106,GO GO GO PANTHER PFAM,"regulation of transcription, DNA-dependent sequence-specific DNA binding sequence-specific DNA binding transcription factor activity FAMILY NOT NAMED WRKY DNA -binding domain"
Mapoly0061s0032,GO:0016020 PF07933 PTHR12847:SF4 KOG2500 GO:0006897 PTHR12847,GO PFAM PANTHER KOG GO PANTHER,membrane Protein of unknown function (DUF1681) SUBFAMILY NOT NAMED Uncharacterized conserved protein endocytosis ATP-BINDING CASSETTE (ABC) TRANSPORTER-RELATED
Mapoly0061s0033,PF12710 PTHR10000:SF10 PTHR10000,PFAM PANTHER PANTHER,haloacid dehalogenase-like hydrolase nan PHOSPHOSERINE PHOSPHATASE
Mapoly0061s0035,PF00454 GO:0016773 PF00240 PTHR15245:SF11 GO:0005515 KOG2381 PTHR15245,PFAM GO PFAM PANTHER GO KOG PANTHER,"Phosphatidylinositol 3- and 4-kinase phosphotransferase activity, alcohol group as acceptor Ubiquitin family GB DEF: T17H3.7 protein binding Phosphatidylinositol 4-kinase SYMPLEKIN-RELATED"
Mapoly0061s0036,GO:0008168 PTHR10108 PF08241 GO:0008152 PTHR10108:SF706,GO PANTHER PFAM GO PANTHER,methyltransferase activity METHYLTRANSFERASE Methyltransferase domain metabolic process nan
Mapoly0061s0037,KOG3137 GO:0005506 PF01327 PTHR10458:SF6 3.5.1.88 GO:0042586 K01462 PTHR10458,KOG GO PFAM PANTHER EC GO KEGGORTH PANTHER,Peptide deformylase iron ion binding Polypeptide deformylase nan Peptide deformylase. peptide deformylase activity peptide deformylase [EC:3.5.1.88] PEPTIDE DEFORMYLASE
Mapoly0061s0038,PTHR13166 PF05347,PANTHER PFAM,PROTEIN C6ORF149 Complex 1 protein (LYR family)
Mapoly0061s0039,GO:0016020 PTHR10794:SF38 PF02517 PTHR10794,GO PANTHER PFAM PANTHER,membrane nan CAAX protease self-immunity ABHYDROLASE DOMAIN-CONTAINING PROTEIN
Mapoly0061s0040,PF04515 PTHR12385 PTHR12385:SF4,PFAM PANTHER PANTHER,Plasma-membrane choline transporter CTL TRANSPORTER CTL2-RELATED
Mapoly0061s0041,PTHR10357 GO:0004556 K01176 GO:0005975 PTHR10357:SF112 PF07821 GO:0003824 GO:0043169 GO:0005509 3.2.1.1 PF00128,PANTHER GO KEGGORTH GO PANTHER PFAM GO GO GO EC PFAM,"ALPHA-AMYLASE alpha-amylase activity alpha-amylase [EC:3.2.1.1] carbohydrate metabolic process nan Alpha-amylase C-terminal beta-sheet domain catalytic activity cation binding calcium ion binding Alpha-amylase. Alpha amylase, catalytic domain"
Mapoly0061s0042,PTHR24089 PF00153 PTHR24089:SF90 KOG0752,PANTHER PFAM PANTHER KOG,FAMILY NOT NAMED Mitochondrial carrier protein UNCHARACTERIZED MITOCHONDRIAL CARRIER C4G8.08 Mitochondrial solute carrier protein
Mapoly0061s0043,PTHR22298:SF21 GO:0004553 GO:0005975 PF00759 PTHR22298,PANTHER GO GO PFAM PANTHER,"nan hydrolase activity, hydrolyzing O-glycosyl compounds carbohydrate metabolic process Glycosyl hydrolase family 9 ENDO-1,4-BETA-GLUCANASE"
Mapoly0061s0044,GO:0005874 GO:0007067 GO:0005819 PTHR14326 PF06886,GO GO GO PANTHER PFAM,microtubule mitosis spindle TARGETING PROTEIN FOR XKLP2 Targeting protein for Xklp2 (TPX2)
Mapoly0061s0045,PF11911 PTHR15887,PFAM PANTHER,Protein of unknown function (DUF3429) FAMILY NOT NAMED
Mapoly0061s0046,KOG0170 PTHR11254:SF73 PTHR11254 6.3.2.19 GO:0004842 K10590 PF00632,KOG PANTHER PANTHER EC GO KEGGORTH PFAM,E3 ubiquitin protein ligase HECT UBIQUITIN-PROTEIN LIGASE 3 (KAKTUS PROTEIN) HECT DOMAIN UBIQUITIN-PROTEIN LIGASE Ubiquitin--protein ligase. ubiquitin-protein ligase activity E3 ubiquitin-protein ligase TRIP12 [EC:6.3.2.19] HECT-domain (ubiquitin-transferase)
Mapoly0061s0047,PTHR31371:SF2 PF11961 PF05003 PTHR31371,PANTHER PFAM PFAM PANTHER,nan Domain of unknown function (DUF3475) Protein of unknown function (DUF668) FAMILY NOT NAMED
Mapoly0061s0050,PTHR11586:SF1 KOG2241 PF01588 GO:0000049 PTHR11586,PANTHER KOG PFAM GO PANTHER,SUBFAMILY NOT NAMED tRNA-binding protein Putative tRNA binding domain tRNA binding FAMILY NOT NAMED
Mapoly0061s0052,PF12710 PTHR20858:SF18 PTHR20858 PF03070,PFAM PANTHER PANTHER PFAM,haloacid dehalogenase-like hydrolase nan PHOSPHOMETHYLPYRIMIDINE KINASE TENA/THI-4/PQQC family
Mapoly0061s0054,PF00134 PTHR10177 PTHR10177:SF166,PFAM PANTHER PANTHER,"Cyclin, N-terminal domain CYCLINE nan"
Mapoly0061s0057,PF02209 PTHR11977:SF24 KOG0443 PTHR11977 GO:0003779 GO:0007010 PF00626,PFAM PANTHER KOG PANTHER GO GO PFAM,Villin headpiece domain GELSOLIN-RELATED Actin regulatory proteins (gelsolin/villin family) VILLIN actin binding cytoskeleton organization Gelsolin repeat
Mapoly0061s0059,PTHR12725 PF13419 KOG3085 PTHR12725:SF55,PANTHER PFAM KOG PANTHER,HALOACID DEHALOGENASE-LIKE HYDROLASE Haloacid dehalogenase-like hydrolase Predicted hydrolase (HAD superfamily) nan
Mapoly0061s0061,PTHR22870:SF90 PF13713 PTHR22870 PF00415 GO:0046872 PF01363 PF08381,PANTHER PFAM PANTHER PFAM GO PFAM PFAM,REGULATOR OF CHROMOSOME CONDENSATION (RCC1) Transcription factor BRX N-terminal domain REGULATOR OF CHROMOSOME CONDENSATION Regulator of chromosome condensation (RCC1) repeat metal ion binding FYVE zinc finger Transcription factor regulating root and shoot growth via Pin3
Mapoly0061s0066,PTHR22870 PTHR22870:SF141 PF08381,PANTHER PANTHER PFAM,REGULATOR OF CHROMOSOME CONDENSATION nan Transcription factor regulating root and shoot growth via Pin3
Mapoly0061s0068,PF00091 GO:0005874 PTHR11588 PTHR11588:SF48 GO:0007017 PF03953 GO:0006184 K07374 GO:0003924 GO:0051258 GO:0043234 KOG1376 GO:0005525,PFAM GO PANTHER PANTHER GO PFAM GO KEGGORTH GO GO GO KOG GO,"Tubulin/FtsZ family, GTPase domain microtubule TUBULIN nan microtubule-based process Tubulin C-terminal domain GTP catabolic process tubulin alpha GTPase activity protein polymerization protein complex Alpha tubulin GTP binding"
Mapoly0061s0069,K09422 KOG0048 PF00249 PTHR10641 GO:0003682 PTHR10641:SF464 PF13921,KEGGORTH KOG PFAM PANTHER GO PANTHER PFAM,"myb proto-oncogene protein, plant Transcription factor, Myb superfamily Myb-like DNA-binding domain MYB-LIKE DNA-BINDING PROTEIN MYB chromatin binding nan Myb-like DNA-binding domain"
Mapoly0061s0070,K12847 PF00443 GO:0006511 GO:0008270 PTHR24619:SF122 PTHR24619 GO:0036459 PF02148 KOG2026,KEGGORTH PFAM GO GO PANTHER PANTHER GO PFAM KOG,U4/U6.U5 tri-snRNP-associated protein 2 Ubiquitin carboxyl-terminal hydrolase ubiquitin-dependent protein catabolic process zinc ion binding nan FAMILY NOT NAMED nan Zn-finger in ubiquitin-hydrolases and other protein Spindle pole body protein - Sad1p
Mapoly0061s0075,GO:0005524 PTHR24343:SF99 PF00069 K14498 GO:0004672 2.7.11.1 KOG0583 GO:0006468 PTHR24343,GO PANTHER PFAM KEGGORTH GO EC KOG GO PANTHER,ATP binding nan Protein kinase domain serine/threonine-protein kinase SRK2 [EC:2.7.11.1] protein kinase activity Non-specific serine/threonine protein kinase. Serine/threonine protein kinase protein phosphorylation SERINE/THREONINE KINASE
Mapoly0061s0076,PF13812 PF12854 PF01535 PTHR24015 PF13041,PFAM PFAM PFAM PANTHER PFAM,Pentatricopeptide repeat domain PPR repeat PPR repeat FAMILY NOT NAMED PPR repeat family
Mapoly0061s0077,PTHR23308:SF29 GO:0005515 PF00498 PTHR23308,PANTHER GO PFAM PANTHER,nan protein binding FHA domain NUCLEAR INHIBITOR OF PROTEIN PHOSPHATASE-1
Mapoly0061s0078,KOG1361 PTHR23240 PF12706 PTHR23240:SF7 PF07522 PF00536,KOG PANTHER PFAM PANTHER PFAM PFAM,Predicted hydrolase involved in interstrand cross-link repair DNA CROSS-LINK REPAIR PROTEIN PSO2/SNM1-RELATED Beta-lactamase superfamily domain nan DNA repair metallo-beta-lactamase SAM domain (Sterile alpha motif)
Mapoly0061s0079,PF05699 PF08263 GO:0046983 KOG1121 PTHR23272,PFAM PFAM GO KOG PANTHER,hAT family C-terminal dimerisation region Leucine rich repeat N-terminal domain protein dimerization activity Tam3-transposase (Ac family) BED FINGER-RELATED
Mapoly0061s0081,PF01466 GO:0006511 KOG1724,PFAM GO KOG,"Skp1 family, dimerisation domain ubiquitin-dependent protein catabolic process SCF ubiquitin ligase, Skp1 component"
Mapoly0061s0082,PTHR31867 PF03330 PF01357,PANTHER PFAM PFAM,FAMILY NOT NAMED Rare lipoprotein A (RlpA)-like double-psi beta-barrel Pollen allergen
Mapoly0061s0083,GO:0016020 GO:0005524 PF08370 GO:0016887 PTHR19241 PF01061 PF14510 KOG0065 PTHR19241:SF165 PF00005,GO GO PFAM GO PANTHER PFAM PFAM KOG PANTHER PFAM,"membrane ATP binding Plant PDR ABC transporter associated ATPase activity ATP-BINDING CASSETTE TRANSPORTER ABC-2 type transporter ABC-transporter extracellular N-terminal Pleiotropic drug resistance proteins (PDR1-15), ABC superfamily nan ABC transporter"
Mapoly0061s0084,KOG2632 3.4.21.- PTHR22790 GO:0016021 GO:0008270 GO:0004252 PF01694 PF00641 K09651 PTHR22790:SF7,KOG EC PANTHER GO GO GO PFAM PFAM KEGGORTH PANTHER,Rhomboid family proteins Serine endopeptidases. RHOMBOID-RELATED integral to membrane zinc ion binding serine-type endopeptidase activity Rhomboid family Zn-finger in Ran binding protein and others rhomboid domain-containing protein 1 [EC:3.4.21.-] RHOMBOID-RELATED
Mapoly0061s0085,PF14868,PFAM,Domain of unknown function (DUF4487)
Mapoly0061s0088,GO:0004356 GO:0006542 GO:0006807 K01915 PTHR20852 PF03951 6.3.1.2 KOG0683 PF00120,GO GO GO KEGGORTH PANTHER PFAM EC KOG PFAM,"glutamate-ammonia ligase activity glutamine biosynthetic process nitrogen compound metabolic process glutamine synthetase [EC:6.3.1.2] GLUTAMINE SYNTHETASE Glutamine synthetase, beta-Grasp domain Glutamate--ammonia ligase. Glutamine synthetase Glutamine synthetase, catalytic domain"
Mapoly0061s0089,K14423 GO:0005506 GO:0055114 PTHR11863:SF22 KOG0873 GO:0006633 GO:0016491 PF04116 1.14.13.72 PTHR11863,KEGGORTH GO GO PANTHER KOG GO GO PFAM EC PANTHER,"4,4-dimethyl-9beta,19-cyclopropylsterol-4alpha-methyl oxidase [EC:1.14.13.72] iron ion binding oxidation-reduction process nan C-4 sterol methyl oxidase fatty acid biosynthetic process oxidoreductase activity Fatty acid hydroxylase superfamily Methylsterol monooxygenase. STEROL DESATURASE"
Mapoly0061s0091,PTHR10229:SF1 PF01926 KOG0410 PTHR10229 GO:0005525,PANTHER PFAM KOG PANTHER GO,GTP-BINDING PROTEIN HFLX 50S ribosome-binding GTPase Predicted GTP binding protein GTP-BINDING PROTEIN HFLX GTP binding
Mapoly0061s0092,PF00514 GO:0005515 PTHR23315,PFAM GO PANTHER,Armadillo/beta-catenin-like repeat protein binding BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING
Mapoly0061s0094,GO:0005634 PTHR15217:SF0 PTHR15217 KOG2991 GO:0048024,GO PANTHER PANTHER KOG GO,"nucleus SUBFAMILY NOT NAMED WILMS' TUMOR 1-ASSOCIATING PROTEIN Splicing regulator regulation of mRNA splicing, via spliceosome"
Mapoly0061s0098,PTHR31867 PF03330 PF01357,PANTHER PFAM PFAM,FAMILY NOT NAMED Rare lipoprotein A (RlpA)-like double-psi beta-barrel Pollen allergen
Mapoly0061s0099,KOG1401 K00833 PTHR11986 2.6.1.62 GO:0030170 PF13500 PTHR11986:SF8 GO:0008483 PF00202,KOG KEGGORTH PANTHER EC GO PFAM PANTHER GO PFAM,Acetylornithine aminotransferase adenosylmethionine-8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62] AMINOTRANSFERASE CLASS III Adenosylmethionine--8-amino-7-oxononanoate transaminase. pyridoxal phosphate binding AAA domain ADENOSYLMETHIONINE-8-AMINO-7-OXONONANOATE AMINOTRANSFERASE transaminase activity Aminotransferase class-III
Mapoly0061s0100,PTHR10516 PTHR10516:SF259 GO:0006457 PF00254 KOG0544,PANTHER PANTHER GO PFAM KOG,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE nan protein folding FKBP-type peptidyl-prolyl cis-trans isomerase FKBP-type peptidyl-prolyl cis-trans isomerase
Mapoly0061s0102,PTHR11003 PTHR11003:SF88 PF07885 K05389,PANTHER PANTHER PFAM KEGGORTH,"POTASSIUM CHANNEL, SUBFAMILY K nan Ion channel potassium channel subfamily K, other eukaryote"
Mapoly0061s0103,PTHR19288 KOG2882 PF13344 PF13242 PTHR19288:SF33,PANTHER KOG PFAM PFAM PANTHER,4-NITROPHENYLPHOSPHATASE-RELATED p-Nitrophenyl phosphatase Haloacid dehalogenase-like hydrolase HAD-hyrolase-like nan
Mapoly0061s0104,KOG3064 PTHR23405:SF4 PF01778 PF04874 PTHR23405,KOG PANTHER PFAM PFAM PANTHER,RNA-binding nuclear protein (MAK16) containing a distinct C4 Zn-finger MAINTENANCE OF KILLER 16 (MAK16) PROTEIN Ribosomal L28e protein family Mak16 protein C-terminal region MAINTENANCE OF KILLER 16 (MAK16) PROTEIN-RELATED
Mapoly0061s0105,PTHR23125,PANTHER,F-BOX/LEUCINE RICH REPEAT PROTEIN
Mapoly0061s0106,PTHR12984 GO:0005524 PTHR12984:SF6 PF00069 KOG2137 GO:0004672 GO:0006468,PANTHER GO PANTHER PFAM KOG GO GO,SCY1-RELATED S/T PROTEIN KINASE-LIKE ATP binding SUBFAMILY NOT NAMED Protein kinase domain Protein kinase protein kinase activity protein phosphorylation
